ro_order,customer_id,rate_service_point,rate_service_note,rate_mechanic_option_id,rate_mechanic_point,rate_mechanic_note,rate_mechanic_option_id.1,dealer_code,emp_code,Customer_ID,UID,rate_chatbot_point,rate_chatbot_agent_point
1-11941J1,1904681,4, NULL,"1,3,5,6",5, NULL,"1,3,5,6",14025,HTE0013_14025,1904681,917798948,0,0
1-11KTVMF,1961239,5, NULL, NULL,5, NULL, NULL,22010,HFI001_22010,1961239,999888779,0,0
1-12ORTIL,1203130,5, NULL,"1,2,3,4,5,6",5,"đặt lịch hẹn tới được ưu tiên làm, nhanh chóng. xe sau sửa tốt.","1,2,3,4,5,6",24008,HTE004_24008,1203130,1627117999,0,0
1-12Z25I6,46878,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",24008,HFI001_24008,46878,945342483,0,0
1-13O9VRN,189530,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",24008,HTE004_24008,189530,986514020,0,0
1-13Z2D30,556416,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",24008,HTE004_24008,556416,935033777,0,0
1-14E91HT,1246404,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",24008,HTE002_24008,1246404,967995678,0,0
1-15BWTFX,1968938,4, NULL, NULL,5, NULL, NULL,25005,HFI001_25005,1968938,913520509,0,0
1-15O3Q9P,2102397,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",15010,HTE007_15010,2102397,388183247,0,0
1-15WRC7L,2233870,3, NULL, NULL,0,sên xe kêu lọc cọc, NULL,43011,HTE001_43011,2233870,906622627,0,0
1-165S2LN,2370987,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",22010,HTE008_22010,2370987,91258325,0,0
1-16PYKKG,2152545,1,Chưa bảo trì cũng khai là đã làm, NULL,0, NULL, NULL,14015,HTE005_14015,2152545,377861468,0,0
1-16Y47L1,1014383,5, NULL, NULL,0, NULL, NULL,42076,HTE001_42076,1014383,933703165,0,0
1-16YOUGQ,2412307,5, NULL, NULL,5, NULL, NULL,42042,HTE001_42042,2412307,982507775,0,0
1-16YPVRX,2163432,5, NULL, NULL,0, NULL, NULL,14041,HTE0027_14041,2163432,913231517,0,0
1-1779SGZ,2370782,1, NULL,6,5, NULL,6,27012,HTE001_27012,2370782,905996677,0,0
1-178ZZO5,2438210,5, NULL,1,5, NULL,1,9004,HTE002_09004,2438210,352113866,0,0
1-1799SR5,702355,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",42053,HTE001_42053,702355,934384627,0,0
1-17Q46RJ,2481269,4, NULL, NULL,4, NULL, NULL,42601,HTE001_42601,2481269,902933367,0,0
1-1886QRQ,2251230,5, NULL, NULL,0, NULL, NULL,18026,HTE005_18026,2251230,975502882,0,0
1-1888UP8,1100462,5, NULL, NULL,4, NULL, NULL,27010,HTE006_27010,1100462,981454576,0,0
1-188DAXH,2455323,5, NULL, NULL,0,Nhiệt tình vui vẻ, NULL,14060,HTE003_14060,2455323,936091938,0,0
1-18HEE6V,718461,5,Tốt,"1,2,3,4,5,6",5,"Nhiệt tình, rất tốt","1,2,3,4,5,6",26008,HTE009_26008,718461,905996905,0,0
1-18R01A9,2582,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",7005,HTE008_07005,2582,358723448,0,0
1-18SEOQF,2565802,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",10002,HTE022_10002,2565802,983135548,0,0
1-19C5KWE,17921,1,"Mình mới mua xe máy của Honda lần đầu, nên không biết thời gian bảo hành của từng cấp độ thế nào?\nNhắn tin fanpage hỏi thì được trả lời: chạy 300-500km thì thay nhớt, đến 1000km thì kiểm tra định lần đầu.\nKhi đến thay nhớt thì nhân viên lại bảo: sau khi thay nhớt thì cách 1000km đến kiểm tra.\nTóm lại quy đình bảo hành của Honda thế nào, sao có 2 cách trả lời khác nhau vậy?\nMình thay nhớt hãng thu của mình 80.000 đồng, sao lại thấy trên đây báo là 0 đồng", NULL,0, NULL, NULL,40006,HTE012_40006,17921,908838663,0,0
1-19HBIL1,2629735,5, NULL, NULL,5, NULL, NULL,34007,HTE007_34007,2629735,905134590,0,0
1-1ACWDXN,2175368,5, NULL,"1,2",5, NULL,"1,2",42055,HSR006_42055,2175368,903323131,0,0
1-1AIBG0P,1456328,5,"mình có kiểm tra định kỳ lần 2 đâu , chắc có sự nhầm lẫn", NULL,5,., NULL,11020,HTE004_11020,1456328,865627201,0,0
1-1AL41AN,1116094,5, NULL,"2,4,1",5, NULL,"2,4,1",42023,HFI001_42023,1116094,938384304,0,0
1-1B6NBLV,2040595,1,"Mua xe tại cửa hàng , thay dầu lần 1 tại cửa hàng, yêu cầu rửa xe nhưng không được phục vụ . ( mặc dù đã đề nghỉ trả phí ) . Lý do đưa ra “ nước yếu , ko phải BH .. ) . Xin cám ơn lần này và xin lỗi cửa hàng sẽ ko bao giờ quay lại sử dụng dịch vụ và mua xe mới lần sau nữa .", NULL,2, NULL, NULL,14052,HTE001_14052,2040595,904171258,0,0
1-1BT6R2N,2007565,1,Giá tại đại lý quá cao. Nhân viên vẽ cho khách, NULL,1, NULL, NULL,42082,HTE003_42082,2007565,902439062,0,0
1-1C0VPU2,2205852,5, NULL, NULL,0, NULL, NULL,42077,HTE012_42077,2205852,906968727,0,0
1-1CBITW3,2544270,1, NULL,1,4, NULL,1,41010,HFI001_41010,2544270,386397968,0,0
1-1CE5RZE,2514455,5, NULL, NULL,0, NULL, NULL,34003,HTE009_34003,2514455,989073487,0,0
1-1CHMUGR,2583672,5, NULL,"5,6,3,1,2,4",5, NULL,"5,6,3,1,2,4",51001,HTE005_51001,2583672,763838333,0,0
1-1CJK0XY,2903762,5, NULL, NULL,5, NULL, NULL,41019,HFI001_41019,2903762,971371886,0,0
1-1CLQWOZ,12151,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",42004,HTE001_42004,12151,764866078,0,2
1-1CTFL4I,2711199,5,Dịch vụ giá cả rất tốt,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",41019,HFI001_41019,2711199,985421284,0,0
1-1CTVC2J,2930774,5, NULL, NULL,5, NULL, NULL,16006,HTE003_16006,2930774,982007729,0,0
1-1DC78PK,177896,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",42058,HTE001_42058,177896,913893111,0,0
1-1DNZ6WT,1696701,4, NULL, NULL,0, NULL, NULL,16014,HTE010_16014,1696701,985211219,4,0
1-1DZIF82,2762702,5, NULL,6,5, NULL,6,42062,HTE009_42062,2762702,824166606,0,0
1-1EGL4PF,3161398,5, NULL, NULL,5, NULL, NULL,30017,HTE001_30017,3161398,868811779,0,0
1-1EKZEHU,3232037,5, NULL, NULL,5, NULL, NULL,38042,HTE003_38042,3232037,977318512,0,0
1-1ELTOES,3582375,5, NULL, NULL,5, NULL, NULL,15016,HTE015_15016,3582375,975675105,0,0
1-1ELW2I8,1941540,5, NULL, NULL,5, NULL, NULL,15016,HTE022_15016,1941540,976099758,0,0
1-1EOH6CW,1586210,5, NULL,1,5, NULL,1,38033,HTE004_38033,1586210,919378889,0,0
1-1ERBLWF,324146,5, NULL, NULL,4, NULL, NULL,53022,HTE02_53022,324146,918468717,5,0
1-1EVN6J7,3239108,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",13011,HTE006_13011,3239108,976262642,0,0
1-1F4B5DH,1432798,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",27012,HTE005_27012,1432798,905523039,0,0
1-1F4YPZH,7270,5, NULL,4,5, NULL,4,42029,HTE001_42029,7270,942955718,0,0
1-1F8U6KG,497406,3, NULL,"1,2",2, NULL,"1,2",38023,HTE011_38023,497406,378237977,0,0
1-1G23SND,511783,4, NULL, NULL,4, NULL, NULL,44018,HTE005_44018,511783,939285295,5,0
1-1GASGU0,2929165,5, NULL, NULL,0, NULL, NULL,42052,HTE007_42052,2929165,903917096,0,0
1-1GC6IHL,3363229,5, NULL,"3,2,1,4,5,6",5, NULL,"3,2,1,4,5,6",51001,HFI002_51001,3363229,919118445,0,0
1-1HC7JDL,995472,5, NULL, NULL,5, NULL, NULL,13002,HTE024_13002,995472,912167379,0,0
1-1HCNJZ3,1311347,5, NULL,"3,6,5,4,2,1",5, NULL,"3,6,5,4,2,1",28002,HTE003_28002,1311347,914417177,0,0
1-1HYGW9R,1394467,4, NULL,5,4, NULL,5,14056,HFI001_14056,1394467,968484062,0,0
1-1IDK8FY,23182,4, NULL, NULL,4, NULL, NULL,10007,HTE006_10007,23182,986802036,0,0
1-1IEX5J8,3578819,5, NULL, NULL,5, NULL, NULL,42077,HTE007_42077,3578819,904816484,0,0
1-1IJ9HW0,1679326,5, NULL, NULL,5, NULL, NULL,42029,HTE014_42029,1679326,989804995,0,0
1-1INUTYO,380160,5, NULL,"2,6",5, NULL,"2,6",42058,HTE021_42058,380160,902557953,0,0
1-1IYGLYR,1747843,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",50001,HTE019_50001,1747843,981945949,0,0
1-1J8ZPZ7,1661894,5, NULL,"1,3,6,5,4",5, NULL,"1,3,6,5,4",39008,HFI001_39008,1661894,937038799,0,0
1-1J93D4E,3689901,5, NULL,"3,2,1,4,5,6",5, NULL,"3,2,1,4,5,6",51001,HTE006_51001,3689901,917794858,0,0
1-1JDA52V,3702883,4, NULL,2,5, NULL,2,14043,HTE012_14043,3702883,965279688,0,0
1-1JFOO53,3715746,5, NULL, NULL,0, NULL, NULL,21009,HTE001_21009,3715746,982848808,0,0
1-1JIMF5V,3202882,2, NULL,5,3, NULL,5,42038,HTE007_42038,3202882,938005833,0,0
1-1JLY6AB,914988,4, NULL, NULL,4, NULL, NULL,7010,HTE003_07010,914988,336942935,2,0
1-1JMYHKT,786234,5, NULL, NULL,5, NULL, NULL,42602,HTE004_42602,786234,914003114,0,0
1-1JR8FL5,3493948,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",42019,HTE003_42019,3493948,945293392,0,0
1-1JSYT5K,3759381,5,ok,"1,5",5, NULL,"1,5",34001,HTE006_34001,3759381,905656545,0,0
1-1JZUI0N,2440602,5, NULL,"4,5,6,2,1",5, NULL,"4,5,6,2,1",42042,HTE001_42042,2440602,934172567,0,0
1-1K6CQ7E,3467480,5, NULL,"1,2,4,5,3,6",5, NULL,"1,2,4,5,3,6",42071,HTE005_42071,3467480,904644643,0,0
1-1KB3QKO,689992,4, NULL, NULL,4, NULL, NULL,30014,HTE003_30014,689992,913437447,0,0
1-1KH6C73,3617110,5, NULL,"1,2,3,4,6",5, NULL,"1,2,3,4,6",42058,HTE001_42058,3617110,913100449,0,0
1-1KLUMI7,2033029,5, NULL,5,4, NULL,5,39007,HTE041_39007,2033029,908824884,0,0
1-1KMZ2B4,3829012,5, NULL,"3,1,2,4,5,6",5, NULL,"3,1,2,4,5,6",10005,HTE016_10005,3829012,913316907,0,0
1-1KORNV5,283418,1,"cái app quá tệ,  đi kiểm tra mấy lần mà không thấy cập nhật, thà sử dụng sổ giấy còn hơn\n\n1", NULL,0, NULL, NULL,43003,HTE001_43003,283418,354748734,0,0
1-1KUZ2VD,3656239,5, NULL, NULL,5, NULL, NULL,38013,HTE005_38013,3656239,968776265,0,0
1-1L8DWC7,3897537,5, NULL,"1,2,3,4,5,6",5, NULL,"1,2,3,4,5,6",11008,HTE009_11008,3897537,984818894,0,0
1-1L8EWN1,3319447,4, NULL, NULL,0, NULL, NULL,42012,HTE001_42012,3319447,938792013,0,0
1-1LGU6G7,364271,5, NULL, NULL,5, NULL, NULL,42042,HTE001_42042,364271,934808099,0,0
1-1LI5MM3,3923191,5, NULL,"3,1,2,4,5,6",5, NULL,"3,1,2,4,5,6",10005,HTE016_10005,3923191,931822823,0,0
1-1LIY4TP,2847601,5, NULL, NULL,0, NULL, NULL,13002,HTE024_13002,2847601,977140662,0,0
1-1LM1323,1252111,1, NULL,"1,2,3",1, NULL,"1,2,3",42005,HTE007_42005,1252111,973393379,0,0
1-1LWBF09,3551491,1,Nghe nhân viên tư vấn khi tải app của Honda về máy thì sẽ cập nhật tất cả những dịch vụ đc sửa chữa thay thế tại đại lý nhưng sau khi thực hiện xong chưa nhận đủ thông tin cập nhật. \nThay nhớt xe ko cập nhật\nThay công tắc xe cunyx ko cập nhật, NULL,0, NULL, NULL,42042,HTE001_42042,3551491,977361662,1,0
1-1LYKI1A,3968174,5, NULL, NULL,0, NULL, NULL,14050,HFI002_14050,3968174,904333176,0,0
1-1M5LB87,3980711,4, NULL, NULL,0, NULL, NULL,10007,HTE001_10007,3980711,978858435,0,0
