user_id,event_date,model_id_1,model_name_1,model_name_2,model_id_2,product_name_1,product_name_2,Customer_ID,UID
6123528,20221216,66,HR-V G,HR-V L,67,HR-V,HR-V,6123528,989451592
2036494,20220605,27,Civic E,Civic RS,25,Civic,Civic,2036494,888553546
819942,20221113,191,HR-V RS,HR-V RS,191,HR-V,HR-V,819942,946070888
7584997,20221122,191,HR-V RS,CR-V LSE (Phiên Bản Đặc Biệt),135,HR-V,CR-V,7584997,982215234
5384135,20221219,112,G,HR-V G,66,City,HR-V,5384135,976892605
1513584,20220205,2,Accord,Civic RS,25,Accord,Civic,1513584,947138218
6401423,20220518,67,HR-V L,CR-V LSE (Phiên Bản Đặc Biệt),135,HR-V,CR-V,6401423,962178282
4317734,20230310,27,Civic E,HR-V G,66,Civic,HR-V,4317734,909757581
381653,20211016,135,CR-V LSE (Phiên Bản Đặc Biệt),Accord,2,CR-V,Accord,381653,937203848
9353539,20231210,242,L,G,243,CR-V,CR-V,9353539,974029266
1075426,20231102,240,e:HEV RS,Accord,2,CR-V,Accord,1075426,936680880
8102048,20231224,243,G,L,242,CR-V,CR-V,8102048,799701846
7412868,20221222,112,G,Civic Type R,198,City,Civic Type R,7412868,914777833
42568,20210503,66,HR-V G,HR-V L,67,HR-V,HR-V,42568,975360089
5598719,20220817,67,HR-V L,CR-V E,32,HR-V,CR-V,5598719,918996611
6103251,20220516,2,Accord,RS,29,Accord,City,6103251,976333255
6003626,20220304,112,G,RS,29,City,City,6003626,983188146
2346048,20221218,66,HR-V G,G,112,HR-V,City,2346048,986087970
2723413,20220424,31,CR-V G,G,112,CR-V,City,2723413,914560779
3368,20221120,191,HR-V RS,Civic RS,25,HR-V,Civic,3368,909895246
8309782,20230411,103,CR-V L,HR-V L,67,CR-V,HR-V,8309782,777926481
5599942,20230927,232,BR-V G,HR-V RS,191,BR-V,HR-V,5599942,989662383
21907,20200815,25,Civic RS,Brio G,17,Civic,Brio,21907,939349739
1900099,20240116,232,BR-V G,G,112,BR-V,City,1900099,937643697
9220008,20231024,112,G,G,112,City,City,9220008,904476166
5119238,20211120,112,G,RS,29,City,City,5119238,913065133
