DLR,VIN No.,MODEL KEY,MODEL,Loại gói,WTY START,WTY FINISH,EW BUYING,EW START ,EW FINISH,Price (HVN),NET,Note,Note 2nd ,Số ngày,Bổ tiền,v,v.1,Unnamed: 18,Unnamed: 19,UID,VIN
N003,RLHFD26386Y000074,FD,Civic,All car,9/11/2006 0:00,9/10/2009 0:00,1/8/2008 0:00,9/11/2009,9/10/2010,1150000,1045454.545,,,364,12,,,,484,912069676,RLHFD26386Y000074
N001,RLHFD15288Y801643,FD,Civic,All car,9/1/2008 0:00,8/31/2011 0:00,9/1/2008 0:00,9/1/2011,8/31/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,914014289,RLHFD15288Y801643
N001,RLHFD15228Y801640,FD,Civic,All car,9/1/2008 0:00,8/31/2011 0:00,9/1/2008 0:00,9/1/2011,8/31/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,Hệ thống Treo và lái,,0,913324562,RLHFD15228Y801640
S001,RLHFD16238Y801533,FD,Civic,All car,9/1/2008 0:00,8/31/2011 0:00,9/1/2008 0:00,9/1/2011,8/31/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,Hệ thống Treo và lái,,0,982175147,RLHFD16238Y801533
S001,RLHFD15288Y801710,FD,Civic,All car,9/1/2008 0:00,8/31/2011 0:00,9/1/2008 0:00,9/1/2011,8/31/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,903937734,RLHFD15288Y801710
S001,RLHFD26368Y800892,FD,Civic,All car,8/26/2008 0:00,8/25/2011 0:00,9/1/2008 0:00,8/26/2011,8/25/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,6,903741277,RLHFD26368Y800892
N001,RLHFD15248Y801526,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,906196666,RLHFD15248Y801526
N001,RLHFD16228Y801829,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,912244183,RLHFD16228Y801829
N001,RLHFD15248Y801638,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1150000,1045454.545,HVN Khuyến mại,,365,12,,,,0,98887370,RLHFD15248Y801638
S001,RLHFD15298Y801859,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,913840717,RLHFD15298Y801859
S001,RLHFD26308Y801066,FD,Civic,All car,9/30/2008 0:00,9/29/2011 0:00,10/1/2008 0:00,9/30/2011,9/29/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,1,913417553,RLHFD26308Y801066
S001,RLHFD26378Y801078,FD,Civic,All car,10/1/2008 0:00,9/30/2011 0:00,10/1/2008 0:00,10/1/2011,9/30/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,978802122,RLHFD26378Y801078
S002,RLHFD16288Y102432,FD,Civic,All car,2/21/2008 0:00,2/20/2011 0:00,10/1/2008 0:00,2/21/2011,2/20/2012,1550000,1409090.909,,,364,12,,,,223,982962135,RLHFD16288Y102432
N001,RLHFD26398Y800899,FD,Civic,All car,11/1/2008 0:00,10/31/2011 0:00,11/1/2008 0:00,11/1/2011,10/31/2012,1750000,1590909.091,HVN Khuyến mại,,365,12,,,,0,983312624,RLHFD26398Y800899
S001,RLHFD162X8Y801609,FD,Civic,All car,11/1/2008 0:00,10/31/2011 0:00,11/1/2008 0:00,11/1/2011,10/31/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,913725743,RLHFD162X8Y801609
S001,RLHFD26347Y100142,FD,Civic,All car,6/29/2007 0:00,6/28/2010 0:00,1/12/2008 0:00,6/29/2010,6/28/2011,1550000,1409090.909,,,364,12,,,,197,918880445,RLHFD26347Y100142
N003,RLHFD15287Y100325,FD,Civic,All car,6/22/2007 0:00,6/21/2010 0:00,2/8/2008 0:00,6/22/2010,6/21/2011,1550000,1409090.909,,,364,12,,,,231,984999896,RLHFD15287Y100325
N001,RLHFD26308Y800791,FD,Civic,All car,10/2/2008 0:00,10/1/2011 0:00,10/2/2008 0:00,10/2/2011,10/1/2012,1550000,1409090.909,,,365,12,,,,0,962944454,RLHFD26308Y800791
C001,RLHFD162X8Y801500,FD,Civic,All car,10/2/2008 0:00,10/1/2011 0:00,10/2/2008 0:00,10/2/2011,10/1/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,909585758,RLHFD162X8Y801500
S002,RLHFD26388Y800943,FD,Civic,All car,10/2/2008 0:00,10/1/2011 0:00,10/2/2008 0:00,10/2/2011,10/1/2012,1550000,1409090.909,HVN Khuyến mại,,365,12,,,,0,903993573,RLHFD26388Y800943
