user_id,event_date,product_type,product_id,product_name,rate_star,Customer_ID,UID
4309734,20210428,mc,15,SH300i,5,4309734,938114438
5424398,20211229,mc,72,Future 125 FI,5,5424398,363967879
4539074,20210605,mc,51,CB650R 2021,4,4539074,917676288
5746912,20231231,mc,109,Sh mode 125cc,5,5746912,375883988
2210,20201223,mc,46,Blade 110,5,2210,886901888
2726463,20230314,mc,86,CB500F 2022,5,2726463,913222291
2091608,20201115,mc,44,Winner X,2,2091608,967367439
5746912,20231231,mc,98,Gold Wing,2,5746912,375883988
3698576,20210724,mc,50,CBR650R 2021,4,3698576,918232535
1348606,20201201,mc,9,PCX,5,1348606,969960067
3698576,20210724,mc,52,CB500X 2021,5,3698576,918232535
2629544,20201225,mc,27,Future FI,5,2629544,902493351
196241,20201020,mc,8,PCX Hybrid,5,196241,905212948
2742992,20201210,mc,46,Blade 110,5,2742992,9048308
4892285,20210828,mc,60,SH350i,5,4892285,905045731
5746912,20231014,mc,105,Transalp,1,5746912,375883988
1005666,20211027,mc,71,Super Cub C125,5,1005666,966967667
3333421,20210116,mc,42,Air Blade 125/150,5,3333421,91554046
288026,20201220,mc,47,Vision (Cá tính),5,288026,937899765
715000,20200727,mc,23,Wave RSX-FI,5,715000,967404772
1842802,20210129,mc,26,Super CUB C125,5,1842802,683504009
7048,20211001,mc,63,SH125i/ 150i,5,7048,973968077
5746912,20240101,mc,109,Sh mode 125cc,5,5746912,375883988
754898,20200817,mc,32,SH 125i/150i,3,754898,966344188
556652,20210715,mc,58,Winner X,5,556652,902372328
2210,20220215,mc,78,Winner X 2022,5,2210,886901888
2902385,20210528,mc,11,Monkey,1,2902385,986955128
3758372,20210220,mc,43,Sh mode,5,3758372,986526901
3333421,20210116,mc,42,Air Blade 125/150,3,3333421,91554046
5746912,20231014,mc,97,CBR150R,3,5746912,375883988
3698576,20210724,mc,55,Rebel 500 2021,4,3698576,918232535
3168477,20210530,mc,9,PCX,4,3168477,909767270
2640550,20210123,mc,27,Future FI,5,2640550,935766669
2726463,20220526,mc,79,Rebel 500 2022,5,2726463,913222291
4321034,20230325,mc,84,Wave Alpha 110cc,5,4321034,913428842
80399,20211213,mc,75,Sh mode 125cc,2,80399,978886655
1837196,20201002,mc,42,Air Blade 125/150,5,1837196,908300005
5746912,20231014,mc,105,Transalp,4,5746912,375883988
2263013,20201207,mc,15,SH300i,3,2263013,918585692
