UID,Month,Year,Dealer,Region,REMINDER_,RECEPTION,CUSTOMER_LOUNGE,DELIVERY,REPAIR_QUALITY,FACILITY,Q30Y,OVERALL_SATISFACTION,Free_comment
908169316,Jan,2018,3010,,8,8,8,8,8,,1,,
903726206,Jan,2018,3020,,10,10,9,10,10,,1,,
903820135,Jan,2018,3010,,8,8,9,8,9,,1,,
932234838,Jan,2018,3010,,10,10,10,10,10,,1,,
932234838,Jan,2018,3010,,10,10,10,10,10,,1,,
918050150,Jan,2018,3010,,9,9,9,8,9,,1,,
903787787,Jan,2018,3010,,8,9,7,8,8,,1,,
904290036,Jan,2018,1010,,10,10,9,10,10,,1,,
989996866,Jan,2018,1010,,10,10,10,9,10,,1,,
966030666,Jan,2018,1010,,10,10,9,10,9,,1,,
916103596,Jan,2018,1010,,10,10,10,10,10,,1,,
916103596,Jan,2018,1010,,10,10,10,10,10,,1,,
916103596,Jan,2018,1010,,10,10,10,10,10,,1,,
979404486,Jan,2018,1010,,10,10,10,10,9,,1,,
931359899,Jan,2018,1010,,10,10,10,10,10,,1,,
984688890,Jan,2018,1010,,10,10,10,10,10,,1,,
353274509,Jan,2018,1010,,10,10,9,10,10,,1,,
912841827,Jan,2018,1010,,10,10,10,9,10,,1,,
989060408,Jan,2018,1040,,9,9,10,9,9,,1,,
912151433,Jan,2018,1010,,9,9,10,9,8,,1,,
913226609,Jan,2018,1010,,9,9,9,9,9,,1,,
983916985,Jan,2018,1010,,9,9,9,9,9,,1,,
983916985,Jan,2018,1010,,9,9,9,9,9,,1,,
902326869,Jan,2018,1010,,8,8,8,8,8,,1,,
984699811,Jan,2018,1010,,9,9,9,9,9,,1,,
983950662,Jan,2018,1010,,8,8,8,10,9,,1,,
913521986,Jan,2018,1010,,9,9,8,9,9,,1,,
916466688,Jan,2018,1040,,10,9,9,9,9,,1,,
985152468,Jan,2018,1010,,9,10,9,10,10,,1,,
986592820,Jan,2018,1030,,9,10,8,9,9,,1,,
986110031,Jan,2018,1030,,9,8,9,9,9,,1,,
914369389,Jan,2018,1030,,8,9,8,9,9,,1,,
