UID,s
0,27
9051268,3
9164557,3
9618837,2
29283736,1
91273477,3
91332693,19
98322342,2
325049489,5
327432401,3
327463000,3
329609692,3
333988789,5
334928202,1
335563346,26
335592223,4
336337889,2
336410413,2
339094145,5
339142888,4
339156690,7
339443666,3
343450151,2
344509470,2
344659577,3
344888063,2
344939397,2
344983359,3
345333345,5
346416726,1
346505003,1
346949469,1
347830632,2
348771211,1
349927789,1
349994313,1
352741977,4
355482480,2
355965858,2
356104736,1
357460256,7
357580892,3
357595365,3
358523596,3
358575509,1
359992228,2
362664339,1
363168392,1
363334334,1
363845555,2
364660676,1
364923638,2
366199586,16
367145656,1
367355985,4
367414093,3
367466737,3
367484742,3
367650890,3
367853979,17
367926282,5
368647090,2
372081136,2
372130788,9
372526503,2
373798009,64
374810984,2
375002584,2
375112687,2
375320778,2
375677986,1
375883988,75
377074046,1
377788468,3
378507823,1
382193462,3
382512512,3
382883188,2
383905061,1
384696533,3
384937914,2
385706506,3
385830995,2
386262227,3
386376067,5
386457986,6
386505313,2
386761739,5
387016600,4
387041940,5
387404593,4
387652890,2
388000630,3
388397883,3
388549660,2
388889938,1
388990878,2
389210516,2
389446446,3
389923031,2
392476714,2
