UID,s
0,1137
98,13
963,4
912967,4
913985,5
918056,7
932277,3
942856,4
962686,6
964962,1
974539,1
979183,17
979216,1
982883,3
983357,12
983883,4
985112,4
986191,6
986332,4
986930,22
987273,2
3324266,6
3440791,6
3554656,2
3630617,9
3652953,2
3675438,7
3787093,3
3867139,16
3928283,1
8689745,3
9021247,5
9021817,3
9045142,2
9046689,3
9048308,6
9049780,1
9051268,12
9115228,7
9121234,6
9121911,5
9121931,2
9124154,2
9125378,1
9129538,1
9129673,12
9130034,1
9132747,30
9137777,3
9151717,3
9153768,2
9158586,8
9164557,50
9171665,5
9174179,2
9178642,6
9178961,8
9180846,4
9193852,1
9322777,46
9322780,5
9342852,6
9344028,1
9346812,4
9369960,2
9412842,2
9420137,3
9426163,6
9430194,3
9436868,3
9445678,6
9445833,6
9451829,20
9455597,2
9463578,1
9464512,4
9476999,28
9478848,12
9486008,16
9499423,2
9499685,2
9533903,1
9618837,3
9642029,2
9658524,6
9663725,14
9668476,16
9672111,6
9674214,45
9695909,11
9715850,1
9723035,4
9733671,2
9737665,5
9739951,30
9741095,14
9741237,1
9746372,4
9750509,2
9754126,5
