UID,s
0,2265
98,30
909,5
963,13
9154,10
76507,1
91724,1
97868,1
98287,4
353994,4
399530,5
839856,6
889747,1
912101,12
912143,2
912318,6
912592,9
912678,3
912800,1
912967,7
913272,2
913274,2
913985,13
914632,2
918056,6
919789,1
932277,22
933752,1
934487,1
942715,1
942856,6
948263,2
949361,2
962686,12
966366,6
978236,4
978390,3
979027,2
979183,29
979216,11
979533,9
979556,13
983012,1
983357,43
983464,2
983883,9
985112,5
986191,6
986332,27
986930,7
987273,7
987835,9
989580,3
989634,1
989804,8
1001000,4
1639887,1
1685707,2
1695427,2
3281395,1
3324266,60
3440791,14
3490735,1
3493905,1
3498719,1
3554656,6
3556008,4
3579644,2
3630617,18
3668546,2
3675438,9
3687272,5
3766251,1
3768223,5
3836853,4
3867139,34
3928283,5
3974866,1
7788222,2
8324934,1
8330829,1
8382111,3
8440711,11
8651949,5
8685252,5
8689745,5
8693221,6
8987868,4
9013256,6
9021247,14
9044656,1
9045142,15
9046689,4
9047892,4
9048308,10
9049780,7
9049912,4
9051268,180
9087575,1
9096158,5
