UID,s
0,86
9154,1
912592,1
912967,1
913985,3
932277,2
3652953,1
3675438,1
3867139,2
8440711,1
9051268,14
9115228,1
9121234,6
9125378,1
9129538,1
9129673,1
9137777,1
9164557,9
9174026,2
9178642,1
9178961,6
9322777,3
9451829,3
9476999,5
9663725,3
9674214,1
9725777,1
9727352,1
9739951,1
9741095,1
9750509,1
9754126,1
9791040,3
9797676,1
9821363,1
9826456,2
9840813,1
9850132,1
9876908,2
9879837,6
9881575,2
9895457,3
9898555,1
29283736,4
32603888,1
76336666,2
83376373,1
90222967,2
90396627,1
91214986,2
91238713,1
91257905,3
91296738,2
91305486,3
91305922,1
91554046,1
91559916,1
91599884,5
91692258,1
91712364,3
91869289,1
93227778,1
93273196,1
93638456,1
93721058,2
94336466,2
94504214,1
94609000,1
96532148,1
97281567,1
97648568,1
97823190,1
98337745,2
98349956,1
98420009,1
98442499,1
98495666,1
98567569,2
98612788,2
98696329,2
98736879,2
98777695,1
98831678,2
98849548,4
98857374,2
98918643,1
107753278,1
123478337,2
183063849,2
221378820,1
283914268,14
310790200,1
325049489,1
325189221,6
326035161,8
326313073,1
326505828,1
326508811,1
327243743,1
327296715,1
