UID,s
0,2352
98,54
262,6
909,6
933,1
9154,4
9734,1
96554,1
98287,3
346567,1
353994,1
889747,3
903456,4
912800,4
912967,4
913272,5
913274,1
913985,17
914748,2
918056,4
919789,2
932277,21
934487,1
942715,13
942927,3
962686,9
964962,4
966366,1
968009,7
974539,3
978236,5
978390,1
979027,8
979183,3
979556,2
979714,1
982883,11
983357,2
983464,1
983857,1
983883,6
986332,5
986639,1
986930,14
987273,5
987835,3
988533,1
1253308,1
3281395,3
3324266,12
3440791,6
3493905,2
3556008,2
3652953,6
3682653,1
3687272,1
3787093,2
3788888,3
3836853,4
3867139,15
3928283,7
7788222,2
8158988,1
8330829,2
8366336,4
8440711,1
8651949,7
8683756,3
8685252,1
8987868,1
9021247,1
9021817,4
9042450,1
9045142,6
9046689,12
9048308,13
9049912,2
9051268,11
9096158,2
9098978,1
9098986,3
9115228,17
9123224,4
9123424,2
9123554,1
9124154,12
9124391,1
9124647,1
9126252,2
9126573,1
9126854,1
9127017,11
9127768,6
9127793,1
9129215,1
9129231,1
9129673,36
9130034,6
9130270,3
9130273,4
