UID,view_promotion_notification
0,90
98,2
909,2
399530,1
912592,4
974539,2
979027,1
983883,3
986332,1
986639,2
989804,5
1685707,1
3324266,3
3556008,3
3788888,2
3867139,2
8559678,4
9048308,1
9051268,11
9098986,1
9121864,4
9127017,3
9127793,3
9129366,1
9129673,3
9129784,1
9130034,2
9132747,2
9133968,1
9135778,8
9154059,2
9160957,3
9164557,2
9165937,4
9167078,1
9167596,1
9357777,2
9411823,5
9420137,1
9432721,1
9433717,1
9442985,2
9445833,2
9450633,6
9451829,2
9455597,5
9464512,1
9466835,2
9470506,2
9476999,1
9478848,2
9493117,5
9499423,1
9499685,1
9618837,1
9629211,3
9668476,4
9672111,1
9674214,8
9737665,1
9741095,4
9746372,1
9754835,3
9778477,1
9782749,3
9786656,4
9791040,4
9819224,2
9819953,4
9820061,3
9821363,4
9822591,4
9822629,4
9825217,3
9827178,1
9832624,1
9835753,1
9836057,1
9839853,10
9843026,4
9846401,1
9848825,6
9850132,4
9856482,1
9859091,1
9865343,7
9867865,7
9875251,2
9877422,5
9885456,1
9888199,5
9891625,3
9895457,13
13552798,1
17160267,1
32764661,4
34937838,9
38359299,1
38750859,2
38965389,2
