code,name,name_en,name_acr,full_name,full_name_en,code_name,province_code
001,Ba Đình,Ba Dinh,bd,Quận Ba Đình,Ba Dinh District,badinh,01
002,Hoàn Kiếm,Hoan Kiem,hk,Quận Hoàn Kiếm,Hoan Kiem District,hoankiem,01
003,Tây Hồ,Tay Ho,th,Quận Tây Hồ,Tay Ho District,tayho,01
004,Long Biên,Long Bien,lb,Quận Long Biên,Long Bien District,longbien,01
005,Cầu Giấy,Cau Giay,cg,Quận Cầu Giấy,Cau Giay District,caugiay,01
006,Đống Đa,Dong Da,dd,Quận Đống Đa,Dong Da District,dongda,01
007,Hai Bà Trưng,Hai Ba Trung,hbt,Quận Hai Bà Trưng,Hai Ba Trung District,haibatrung,01
008,Hoàng Mai,Hoang Mai,hm,Quận Hoàng Mai,Hoang Mai District,hoangmai,01
009,Thanh Xuân,Thanh Xuan,tx,Quận Thanh Xuân,Thanh Xuan District,thanhxuan,01
016,Sóc Sơn,Soc Son,ss,Huyện Sóc Sơn,Soc Son District,socson,01
017,Đông Anh,Dong Anh,da,Huyện Đông Anh,Dong Anh District,donganh,01
018,Gia Lâm,Gia Lam,gl,Huyện Gia Lâm,Gia Lam District,gialam,01
019,Nam Từ Liêm,Nam Tu Liem,ntl,Quận Nam Từ Liêm,Nam Tu Liem District,namtuliem,01
020,Thanh Trì,Thanh Tri,tt,Huyện Thanh Trì,Thanh Tri District,thanhtri,01
021,Bắc Từ Liêm,Bac Tu Liem,btl,Quận Bắc Từ Liêm,Bac Tu Liem District,bactuliem,01
024,Hà Giang,Ha Giang,hg,Thành phố Hà Giang,Ha Giang City,hagiang,02
026,Đồng Văn,Dong Van,dv,Huyện Đồng Văn,Dong Van District,dongvan,02
027,Mèo Vạc,Meo Vac,mv,Huyện Mèo Vạc,Meo Vac District,meovac,02
028,Yên Minh,Yen Minh,ym,Huyện Yên Minh,Yen Minh District,yenminh,02
029,Quản Bạ,Quan Ba,qb,Huyện Quản Bạ,Quan Ba District,quanba,02
030,Vị Xuyên,Vi Xuyen,vx,Huyện Vị Xuyên,Vi Xuyen District,vixuyen,02
031,Bắc Mê,Bac Me,bm,Huyện Bắc Mê,Bac Me District,bacme,02
032,Hoàng Su Phì,Hoang Su Phi,hsp,Huyện Hoàng Su Phì,Hoang Su Phi District,hoangsuphi,02
033,Xín Mần,Xin Man,xm,Huyện Xín Mần,Xin Man District,xinman,02
034,Bắc Quang,Bac Quang,bq,Huyện Bắc Quang,Bac Quang District,bacquang,02
035,Quang Bình,Quang Binh,qb,Huyện Quang Bình,Quang Binh District,quangbinh,02
040,Cao Bằng,Cao Bang,cb,Thành phố Cao Bằng,Cao Bang City,caobang,04
042,Bảo Lâm,Bao Lam,bl,Huyện Bảo Lâm,Bao Lam District,baolam,04
043,Bảo Lạc,Bao Lac,bl,Huyện Bảo Lạc,Bao Lac District,baolac,04
045,Hà Quảng,Ha Quang,hq,Huyện Hà Quảng,Ha Quang District,haquang,04
047,Trùng Khánh,Trung Khanh,tk,Huyện Trùng Khánh,Trung Khanh District,trungkhanh,04
048,Hạ Lang,Ha Lang,hl,Huyện Hạ Lang,Ha Lang District,halang,04
049,Quảng Hòa,Quang Hoa,qh,Huyện Quảng Hòa,Quang Hoa District,quanghoa,04
051,Hoà An,Hoa An,ha,Huyện Hoà An,Hoa An District,hoaan,04
052,Nguyên Bình,Nguyen Binh,nb,Huyện Nguyên Bình,Nguyen Binh District,nguyenbinh,04
053,Thạch An,Thach An,ta,Huyện Thạch An,Thach An District,thachan,04
058,Bắc Kạn,Bac Kan,bk,Thành phố Bắc Kạn,Bac Kan City,backan,06
060,Pác Nặm,Pac Nam,pn,Huyện Pác Nặm,Pac Nam District,pacnam,06
061,Ba Bể,Ba Be,bb,Huyện Ba Bể,Ba Be District,babe,06
062,Ngân Sơn,Ngan Son,ns,Huyện Ngân Sơn,Ngan Son District,nganson,06
